2026-08-04 12:06:17 | INFO    | verify | 日志写入测试 ok
2026-08-04 12:06:17 | DEBUG   | verify | debug 级也应进文件
2026-08-04 12:06:29 | INFO    | cleanup | 清理旧截图: 删除 1469 个，保留 20 个
2026-08-04 12:10:30 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121030_525483.png (region=[15, 189, 456, 529])
2026-08-04 12:10:31 | INFO    | cleanup | 清理旧截图: 删除 1 个，保留 20 个
2026-08-04 12:10:48 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121048_069539.png (region=[15, 189, 456, 529])
2026-08-04 12:10:48 | INFO    | ocr | 初始化 RapidOCR 引擎
2026-08-04 12:10:49 | DEBUG   | PIL.Image | Importing PngImagePlugin
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'iCCP' 41 2737
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | iCCP profile name b'ICC Profile'
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | Compression method 0
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'eXIf' 2790 86
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'iTXt' 2888 471
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'iDOT' 3371 28
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | b'iDOT' 3371 28 (unknown)
2026-08-04 12:10:49 | DEBUG   | PIL.PngImagePlugin | STREAM b'IDAT' 3411 16384
2026-08-04 12:10:53 | DEBUG   | ocr | OCR 识别 7 行: ./tmp/screenshot_20260804_121048_069539.png
2026-08-04 12:10:53 | INFO    | ai_analyzer | 调用 AI 模型: model=step-3.7-flash, max_tokens=500, 题目长度=94
2026-08-04 12:10:54 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121053_530954.png (region=[15, 189, 456, 529])
2026-08-04 12:10:54 | DEBUG   | detector | SSIM score=0.9995 threshold=0.05 has_change=False (./tmp/screenshot_20260804_121048_069539.png vs ./tmp/screenshot_20260804_121053_530954.png)
2026-08-04 12:10:55 | DEBUG   | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-f37db19e-0fe1-42ff-b28b-cd95f233727d', 'security': {'bearer_auth': True}, 'content': None, 'json_data': {'messages': [{'role': 'system', 'content': '你是一个专业的答题助手，擅长分析选择题并给出准确答案。'}, {'role': 'user', 'content': '你是一个专业的答题助手。请分析以下单选题并给出答案。\n\n题目内容：\n某企业某年度6月30日的财务报表中有资产\n4700万元，负债700万元，所有者权益2000万\n元,收入6000万元,则本期费用为()\n2700万元\n4000万元\n6000万元\n2000万元\n\n请按以下格式返回（不要添加其他内容）：\n答案：[选项字母，如 D 或 AB]\n解析：[选项内容，如：土地使用权属于无形资产]'}], 'model': 'step-3.7-flash', 'max_tokens': 500, 'temperature': 0.3}}
2026-08-04 12:10:55 | DEBUG   | openai._base_client | Sending HTTP Request: POST https://api.stepfun.com/v1/chat/completions
2026-08-04 12:10:55 | DEBUG   | httpcore.connection | connect_tcp.started host='api.stepfun.com' port=443 local_address=None timeout=5.0 socket_options=None
2026-08-04 12:10:55 | DEBUG   | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1499e57f0>
2026-08-04 12:10:55 | DEBUG   | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x14833de20> server_hostname='api.stepfun.com' timeout=5.0
2026-08-04 12:10:55 | DEBUG   | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1498c9950>
2026-08-04 12:10:55 | DEBUG   | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-08-04 12:10:55 | DEBUG   | httpcore.http11 | send_request_headers.complete
2026-08-04 12:10:55 | DEBUG   | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-08-04 12:10:55 | DEBUG   | httpcore.http11 | send_request_body.complete
2026-08-04 12:10:55 | DEBUG   | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-08-04 12:10:55 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121055_490521.png (region=[15, 189, 456, 529])
2026-08-04 12:10:56 | DEBUG   | detector | SSIM score=1.0000 threshold=0.05 has_change=False (./tmp/screenshot_20260804_121053_530954.png vs ./tmp/screenshot_20260804_121055_490521.png)
2026-08-04 12:10:57 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121056_636020.png (region=[15, 189, 456, 529])
2026-08-04 12:10:57 | DEBUG   | detector | SSIM score=1.0000 threshold=0.05 has_change=False (./tmp/screenshot_20260804_121055_490521.png vs ./tmp/screenshot_20260804_121056_636020.png)
2026-08-04 12:10:58 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121057_770754.png (region=[15, 189, 456, 529])
2026-08-04 12:10:58 | DEBUG   | detector | SSIM score=1.0000 threshold=0.05 has_change=False (./tmp/screenshot_20260804_121056_636020.png vs ./tmp/screenshot_20260804_121057_770754.png)
2026-08-04 12:10:59 | DEBUG   | screenshot | 截图完成: ./tmp/screenshot_20260804_121058_873414.png (region=[15, 189, 456, 529])
2026-08-04 12:10:59 | DEBUG   | detector | SSIM score=1.0000 threshold=0.05 has_change=False (./tmp/screenshot_20260804_121057_770754.png vs ./tmp/screenshot_20260804_121058_873414.png)
